h củ tói với ông nhấ người khác phải hẹn tôi á tôi sẽ bảo là tôi sẽ đến hoặc là tôi sẽ không đến chắc chắn là như thế chứ không có cái loại thu xếp thu xếp	xếp tôi nói với ông nhé người khác phải hẹn tôi á tôi sẽ bảo là tôi sẽ đến hoặc là tôi sẽ không đến chắc chắn là như thế chứ không có cái loại thu xếp thu xếp
ừờ ờ	ờ ờ
à chơi đột xuất	à chơi đột xuất
ừ có phải hôm đó ông có bạn khác hẹn đi hay là bạn gái hẹn đi	ừ có phải hôm đó ông có bạn khác hẹn đi hay là bạn gái hẹn đi
bữi đâu hai chín bạn gái rủ đi tắm biể lạng sơn sao	à biết đâu hai chín bạn gái rủ đi tắm biển lạng sơn sao
hệng mà ông đã đi đến cái mứ độ đi nhiều đến mức độ chán đâu mà gớm	nhưng mà ông đã đi đến cái mức độ đi nhiều đến mức độ chán đâu mà gớm
ừ	ừ
qa hà ngoài hà nội á	mua hàng ngoài hà nội á
có mà người yêu ở nội thì có	có mà người yêu ở hà nội thì có
kiêng lấy con bồủ ngàó	kiếm lấy con bồ ngoài đó đi con nào mà đ hả ừ em út vậy thôi đêm qua ba rưỡi tôi đi đón đấy thôi
ừ về qua đến qua mùng một đi mà	ừ về qua đến qua mùng một đi mà
ừ	ừ
dìạ	gì ạ
hai đănh cuối nhưng mà ông cứ phải giấm dần đi ông phải đến ông thọc cái lỗ xong rồi ông nhét mấy hạt muối đó cho nó chín dần đi thọc xong nó chín là vừa ăn là vừa	năm cuối nhưng mà ông cứ phải giấm dần đi ông phải đến ông thọc cái lỗ xong rồi ông nhét mấy hạt muối đó cho nó chín dần đi thọc xong nó chín là vừa ăn là vừa
tời không tôi nói quả mít địch nhà ông ông lấy gậy đập cho sưng người đi	đúng không tôi nói quả mít địch nhà ông ông lấy gậy đập cho sưng người đi
muùn phơi nắng đi là chín	mang phơi nắng đi là chín
ờ hớ	ờ hớ
ờ ví dụ như bài của bà cái gì nhỉ nà hồ xân hương đấy có ttử có thương phì đóng cọc đấy đóng người ta đóng cọc nó mới chín	ờ ví dụ như bài của bà cái gì nhỉ bà hồ xuân hương đấy sắp sửa có thương thì đóng cọc đấy đóng người ta đóng cọc nó mới chín
ừ chới đấy	ở dưới đấy
ừ không chả thấy tiếng tăm gì cả	không chả thấy tiếng tăm gì cả
kông biết ông tướng ông đang bây giờ đang tập vẹo nơi nào	không biết ông tướng ông đang bây giờ đang tập vẹo nơi nào
ờ thấy vợ tôi bảo là đang ở hà nội mà	ờ thấy vợ tôi bảo là đang ở hà nội mà
thằnm làm vơi làm vẫn mà thằng làm chi	thằng làm vơ làm vẫn mà thằng làm chi
chưa biết thì cũng được nhưng phải làm cố định thì nó đỡ hơn dần dần thì nó sẽ khá hơn chứ đúng không	chưa biết thì cũng được nhưng phải làm cố định thì nó đỡ hơn dần dần thì nó sẽ khá hơn chứ đúng không
rồi mình xem có việc gì đó ngon hơn thì mình làm chứ bây giờ tự dưng cứ đứng núi này trông núi nọ rồi chạy hết chỗ này chỗ kia đâm	rồi mình xem có việc gì đó ngon hơn thì mình làm chứ bây giờ tự dưng cứ đứng núi này trông núi nọ rồi chạy hết chỗ này chỗ kia đâm
ở nhà ở nhà hạnh thứ ừ	ở nhà ở nhà hạnh thế
nó	nó á
nói ai là ông	nó hay là ông
có tử đấy chứ nó mới có cái đoạn cãi nha thằng đó hay khùng tính lắm	thật đấy chứ nó mới có cái đoạn cãi nhau thằng đó hay khùng tính lắm
ừ thế khiểm chế nhiều chứ bây giờ sống trên đời kiềm chế nhiều chứ mà không chịu kiềm chế mà cứ khùng lên thì biết lúc nào mới hết	thế kiềm chế nhiều chứ bây giờ sống trên đời kiềm chế nhiều chứ mà không chịu kiềm chế mà cứ khùng lên thì biết lúc nào mới hết
ờ	ờ
chìn	thế
bọn tôi đi làm đây mà trong phòng tôi nói chung là có một vài một hai thằng gì đó	bọn tôi đi làm đây mà trong phòng tôi nói chung là có một vài một hai thằng gì đó
có lúc nó cáu mình cáu cáu một tí mình cũng phải cố nhịn đi chứ đâu phải tự dưng mà nó cáu mình mình cáu lại đâm ra nó mất đoàn kết ra rồi mình có làm ở trong một môi trường nhớ mì cũng nàm	có lúc nó cáu mình cáu cáu một tí mình cũng phải cố nhịn đi chứ đâu phải tự dưng mà nó cáu mình mình cáu lại đâm ra nó mất đoàn kết ra rồi mình có làm ở trong một môi trường như thế mình cũng làm
sao làm rức	sao làm được
ừô tà như mình địn mình cứ coi như là thua nó đi thì làm sao	đúng không thà như mình nhịn mình cứ coi như là thua nó đi thì làm sao
hả	hả
ờ ừ cũng được tám chín người gì đấy	ờ thì cũng được tám chín người gì đấy
ờ ủa ổng hả anh hả	ờ ủa anh hả anh hả
chủ t hả	chú út hả
đang ở đâu vậy	đang ở đâu vậy
chiềnu nay	chiều nay
chiều nay chương trình là để coi qua nhà cái nga ha	chiều nay chương trình là để coi qua nhà cái nga ha
mua nhà chái ga	qua nhà cái nga
xong rồi cuốn nhà an tinh	xong rồi xuống nhà anh sinh
nha ôi rồi qua nhà thằng hải	nha xong rồi qua nhà thằng hải
hay là bằnh đi cở địn như phưn đông đi như phơng tong đi	hay là mình đi hay như phương đông đi như phương đông đi
khing ừ	như ừ
đi phương đông vô không phải có nghĩa là đi qua nhà mấy đứa kia trước đó là là bắt rầ đi vô phương đông đi vô phơng đông xong rồi à	đi phương đông vô không phải có nghĩa là đi qua nhà mấy đứa kia trước đó là là bắt đầu đi vô phương đông đi vô phương đông xong rồi à
nó chuyện ci nấy đhứ nhỏ trong đó	nói chuyện với mấy đứa nhỏ trong đó
ha	ha
rồi rồi đi qua nhà cái mai	rồi rồi đi qua nhà cái mai
đii qua nhà cái mai rồi đi qua nhà cô thư	đi qua nhà cái mai rồi đi qua nhà cô thư
rồi qua nhà ông hương xong rồi nại là bây giờ mình đi vô phương đông trước đi	rồi qua nhà ông hương xong rồi hoặc là bây giờ mình đi vô phương đông trước đi
đi vô phương đông trước có nghĩa là giờ đi vô phương đông trước cho xong trong đó rồi đắt đầu mình mới vòng qua ngoài này là đi nhà mấy đứa đó nãy em nói đó	đi vô phương đông trước có nghĩa là giờ đi vô phương đông trước cho xong trong đó rồi bắt đầu mình mới vòng qua ngoài này là đi nhà mấy đứa đó nãy em nói đó
xuơng nhà mấy đứa em nói đó xong rồi để có gì xuống dưới ấ hai	xuống nhà mấy đứa em nói đó xong rồi để có gì xuống dưới ấp hai
hắm hai rồi bắt đầu	ấp hai rồi bắt đầu
hả	hả
có nghĩ là mình phải qhoà thành trong phương đông trước để không mất coông chạy ra chạy vô đúng không xong trong đó rồi bắt đầu ra đây mình đi tới đâu hay tới đó đi hết bmấy	có nghĩa là mình phải hoàn thành trong phương đông trước để không mất công chạy ra chạy vô đúng không xong trong đó rồi bắt đầu ra đây mình đi tới đâu hay tới đó đi hết mấy
chín này nữa nè xong rồi đi xuống nhà mày đứa ó	chín này nữa nè xong rồi đi xuống nhà mấy đứa bạn
bể từ mấy đứa bạn đó còn thằng hải đó đó sẽ dẫn đi xuống nhà của mấy tụi dưới đó	để từ mấy đứa bạn đó còn thằng hải đó nó sẽ dẫn đi xuống nhà của mấy tụi dưới đó
tại vì mình đi đâu phải nhiều khi vô cái ra liền đâu vô còn nói chuyện này chuyện ki rất là lâu do	tại vì mình đi đâu phải nhiều khi vô cái ra liền đâu vô còn nói chuyện này chuyện kia rất là lâu ha
đúng rồi đúng rồi cho nên cho nên em ới dự tính m là em mới dự tính là vô phương đông tước rồi nói chuyện với thái giả hai gốn là anh nói chuện với thằng dũng đó	đúng rồi đúng rồi cho nên cho nên em mới dự tính là em mới dự tính là vô phương đông trước rồi nói chuyện với khán giả hai bốn là anh nói chuyện với thằng dũng đó
sau đó là qua nhà con mai với với lại con hiên bạn em trong đó chỉ có hai đứa đó thôi	sau đó là qua nhà con mai với với lại con hiên bạn em trong đó chỉ có hai đứa đó thôi
rồi bắt đầu ra ngoài này là mình tùy cơ ứng biến ra ngoài này là bắt đầu mới đi đi trong tối nay luôn chứ ra là ra nhà của hiền ba võ hhiền ba gõ nàạ rồi ơi	rồi bắt đầu ra ngoài này là mình tùy cơ ứng biến ra ngoài này là bắt đầu mới đi đi trong tối nay luôn chứ ra là ra nhà của hiền ba võ hiền ba võ nè rồi
thằng cường thằng sang rồi qua nhà bà cô thái bên đường đờng đưừng h đườngồ bảy đó	thằng cường thằng sang rồi qua nhà bà cô thái bên đường đường đường đường bảy đó
rồi bắt đầu rôi m	rồi bắt đầu rồi mới
rồi bắt đầu mới đi đi đi có đi xuống ấp hai đi xuống ấp hai đi xuống ấp hai để rồi đi đi vòng vòng vòng vòng cho	rồi bắt đầu mới đi đi đi có đi xuống ấp hai đi xuống ấp hai đi xuống ấp hai để rồi đi đi vòng vòng vòng vòng cho
xong rồi thì lút sớm ngày mai về	xong rồi thì lúc sớm ngày mai về
không có ấy cái đó không có nói chuyện đó cái đó mình về nhà mình ch	không có ấy cái đó không có nói chuyện đó cái đó mình về nhà mình chứ
nên ghề nhà mình mới nói chứ	mình về nhà mình mới nói chứ
chứ bàn cái đó ở đâu	chứ bàn cái đó ở đâu
không không	không không
ờ đâu có nói vụ đó làm gì cái đó là tự mình về mình ấy bây giờ là mình chỉ là đi chủ yếu là đi ấy vậy thôi	ờ đâu có nói vụ đó làm gì cái đó là tự mình về mình ấy bây giờ là mình chỉ là đi chủ yếu là đi ấy vậy thôi
ừ	ừ ờ ừ
cất nhiên thì đi luôn chứ làm sao	tất nhiên thì đi luôn chứ làm sao
bây giờ á là lát nữa đây á là gặp đoàn này đi ra ngoài nghĩa trang hiểu không là bắt đầu mình đi mình đi vô phương đông	bây giờ á là lát nữa đây á là gặp đoàn này đi ra ngoài nghĩa trang hiểu không là bắt đầu mình đi mình đi vô phương đông
cò cê xuút hát là mình vô phơng đông để anh bốn tại vì trong đó chỉ ó anh bốn thôi vô trong đó để nói chuyện với thằng dũng với lại quang mai với bà xong rồi là mình ra đây là tối đó đi ra đây là là mình đ đi vòng vòng	đầu tiên xuất phát là mình vô phương đông để anh bốn tại vì trong đó chỉ có anh bốn thôi vô trong đó để nói chuyện với thằng dũng với lại quang mai với bà xong rồi là mình ra đây là tối đó đi ra đây là là mình đi vòng vòng
từ tối nay cho đến sáng may	từ tối nay cho đến sáng mai
đó thì đi vậy mới mới mới đủ	đó thì đi vậy mới mới mới đủ
nó mới mi mướiấy dờ ăn tthủở sáng mai về	nó mới mới mới ấy rồi tranh thủ sáng mai về
hả	hả
ừ đúng rồi sáng mai rồi về sớm sớm còn ghé vô chú cát nè	ừ đúng rồi sáng mai rồi về sớm sớm còn ghé vô chú cát nè
với chú cát với anh thôi anh cô thúy đó mu có thể em ghé long khánh ghé long khánh nhà cô vân nữa	với chú cát với anh thôi anh cô thúy đó rồi có thể em ghé long khánh ghé long khánh nhà cô vân nữa
hả thì ghé cho nó đủ tuố mà sao y vữ ta hả	hả thì ghé cho nó đủ ủa mà sao ấy dữ ta hả
có đầy đủ hết	có đầy đủ hết
mầy gủ luô	đầy đủ luôn coi như là
xong cũng có luôn có gì mình bổ kung	xong cũng có luôn có gì mình bổ sung
tem nhé	em nhé
nà cô vân em nhớ	nhà cô vân em nhớ
khổng tử ôni khổng tự	khổng tử ừ khổng tử
đúng đúng đúng chính xác chỉ có một cô đó thôi tệ cócôi rội	đúng đúng đúng chính xác chỉ có một cô đó thôi chỉ có một
hản có thủy làm chi em chưa biết nhà cô thủy	nhà cô thủy làm chi em chưa biết nhà cô thủy
ờ ờ ờ đúng rồi đúng rồi	ờ ờ ờ đúng rồi đúng rồi
giờ có vâu thôi còn cô phước với cô phớc với cô dung ở sài gòn rồi thì chủ chắc là là nhờ thằng hải nó gọi qua điện thoại thôi chứ đâu có đi được	nhà cô vân thôi còn cô phước với cô phước với cô dung ở sài gòn rồi thì chỉ chắc là là nhờ thằng hải nó gọi qua điện thoại thôi chứ đâu có đi được
mình đi đám cưới à à thằng đông thằng tông n đng	mình đi đám cưới à à thằng đông thằng đông thằng đông
mời chứ cói mà gời qua đện thoại thôi mời qua điện thoại thôi mời qua điện thoại ừ mời qua điện thoại chứ làm sao ấy được	mời chứ nhưng mà gọi qua điện thoại thôi mời qua điện thoại thôi mời qua điện thoại ừ mời qua điện thoại chứ làm sao ấy được
ờồ ơ nhé không mời sao đợc	mời mời nhé không mời sao được
một thằng đó rồi còn một thằng quen đâu nữa mà nó ở tít ở đâu đâu á ở đâu trên đắc lắc hay là ở đâu hay là bình mình vì bình dì nóng đình lập gkhũng biế nữa	một thằng đó rồi còn một thằng quen đâu nữa mà nó ở tít ở đâu đâu á ở đâu trên đắc lắc hay là ở đâu hay là bình bình gì bình long bình lập gì không biết nữa
ởở đâu mà đắc lắc hay con bé gì ấy	ở đâu mà đắc lắc hay con bé gì ấy
chắc là gọi điện thôi thế	chắc là gọi điện thôi thằng tuyến
thằng tuyến gọi điện	thằng tuyến gọi điện
mời chứ nó mà không mời	mời chứ nó mà không mời
ngày mai về đi ngang qua chỗ chú cát á là cái chỗ chu ô gì ngô quyền cái chỗ cơ quan gì đối diện cái gì á	ngày mai về đi ngang qua chỗ chú cát á là cái chỗ cái chỗ gì ngô quyền cái chỗ cơ quan gì đối diện cái gì á
huyện huyện thu lập nói chuyển về đó củ chỗ mìn vhuyện thu lật nó chuyển về chỗ đó chỗ chú cát đó	huyện huyện thu lập nó chuyển về đó cái chỗ mà huyện thu lập nó chuyển về chỗ đó chỗ chú cát đó
cói tụi sở v vhuyện chuyển về đó chỗ đó là nhà thằng đó dũng ở đối dện chỗ đó đó	cái trụ sở huyện chuyển về đó chỗ đó là nhà thằng đức dũng ở đối diện chỗ đó đó
mà em quên nữa ừ ừ bó i uổng con bài anhó	mà em quên nữa ừ ừ vẫn còn bài anh đó
thong o cò nau rồi rợ chồng bó nhéynhau rồi	chồng con đào mà tụi nó bỏ nhau rồi vợ chồng nó bỏ nhau rồi
đa là ghé qua chỗ đó	đó là ghé qua chỗ đó
diờ lâu rồi em biết nhớ mang mang là ở đoạn đó mà	về lâu rồi em biết nhớ mang mang là ở đoạn đó mà
có nghĩ làả dậ vô là ghé vô đứ ngoài đường nhưng mà bây giờ là mình nghe mấy đứa nó chỉ là ở bên này nhìn chéo chéo qua nhìn xéo xéo qua	có nghĩa là ghé vô là ghé vô đứng ngoài đường nhưng mà bây giờ là mình nghe mấy đứa nó chỉ là ở bên này nhìn chéo chéo qua nhìn xéo xéo qua
thì sẵn tiện ghé vô nó	thì sẵn tiện ghé vô nó
thì em còn phải về chứ không lẽ	thì em còn phải về chứ không lẽ
phải về chứ	phải về chứ
mà mà mà đúng khô biết giờ không thiết giờ này là mấy giờ rồi	mà mà mà không biết giờ không biết giờ này là mấy giờ rồi
nấy người đi bốc mộ làm mình đi a không không em em làm việc của em xong rồiồi làđi	mấy người đi bốc mộ làm mình đi a không không em em làm việc của em xong rồi là đi
em cũng không biết nữa	em cũng không biết nữa
không biết là có đi không	không biết là có đi không
a lô a lô anh tiên à g cí hôm trưếớc cá đội thì sáo hả	a lô a lô anh tiên à vâng ấy hôm trước cá độ thì sao hả
tiền cá độ bóng đá sao rồi ử	tiền cá độ bóng đá sao rồi hử
hả	hả
pổi rồi	phải rồi
thiều	thiều vẫn về
ai chẳng biết thế mấy	ai chẳng biết thế mấy
ờ thì thu nhập thì trước giờ nó nhập vào trong cái ấy cơ bản thì cái đợt này	ờ thì thu nhập thì trước giờ nó nhập vào trong cái ấy cơ bản thì cái đợt này
không chắc sáng mai chạy sáng mai	không chắc sáng mai chạy sáng mai sáng mai nó mới vào làm
ừ cái đợt này còn không biết được ai biết đượcch còn nó còn chũ hộc hấh xâ thoi khôi bệi	ừ cái đợt này còn không biết được ai biết được chứ còn nó còn lâu phết tao không biết
cái này á cái này chắc chị chà biết đấy ci tế thì cái đợt vừ đợt này này đợt này á em định xếm	cái này á cái này chắc chị hà biết đấy cái ừ cái đợt vừa đợt này này đợt này á em định xem
xen xét sau đó có sửa thì sửa cho nó rộng ra chứ còn không có để như thế ngập suốt ngày chán lắm	xem xét sau đó có sửa thì sửa cho nó rộng ra chứ còn không có để như thế ngập suốt ngày chán lắm
thế lại xem	thế lại xem
không biết được cái thấy bảo l về thình chôi maiày kia vền chạy vệ sinh xong bắt đầu là chạy công m đì ấy	không biết được cái thấy bảo là vệ sinh mai ngày kia về chạy vệ sinh xong bắt đầu là chạy công tơ đì ấy
nhưng mà không phải là cái ấy đâu nó thay đâu đấy nó thay bông chứ không phải là nó thay chạy chạy bống mới	nhưng mà không phải là cái ấy đâu nó thay đâu đấy nó thay bông chứ không phải là nó thay chạy chạy bông mới
quả bông kép với súp lơ kẽm với ấy thôi chớ không ải i	quả bông kép với súp lơ kẽm với ấy thôi chứ không phải là ừ
vừn vđrồiđ	vừa rồi ấy đấy cá độ bóng đá hay sao ấy
thí sáng hôi đấy	thấy sáng hôm đấy
sáng hôm đấy bảo đấy	sáng hôm đấy bảo đấy
thế sáng hôm đấy anh mấy giờ anh về	thế sáng hôm đấy anh mấy giờ anh về
nếm hôm đấy em chắc là năm giờ kém mười lăm hay sao ấy năm giờ kém mười lăm à sáu giờ kém mười lăm	em hôm đấy em chắc là năm giờ kém mười lăm hay sao ấy năm giờ kém mười lăm à sáu giờ kém mười lăm
dạ đâu ông ấy về trước em	dạ đâu ông ấy về trước em mà
em ống hùng ấy	em ông hùng ấy
kũng thùng sáu giờ kéem hai mươi á đâu lúc em dậy đấy	ông hùng sáu giờ kém hai mươi á đâu lúc em dậy đấy
em mhỗi em vậy còn có em này anh này ông hà này ông cần này có thế thôi xong em anh mới bảo là đến bẩy giờ	em mỗi em vậy còn có em này anh này ông hà này ông cần này có thế thôi xong em anh mới bảo là đến bẩy giờ
ngồi chơi đến đến bẩy giờ	ngồi chơi đến đến bẩy giờ
ừ ngồi đến bảy giờ à ngủ đến bảy giờ xong bắt đầu lầ bấn hem gi	ừ ngồi đến bảy giờ à ngủ đến bảy giờ xong bắt đầu là mấy anh em đi
thì mình em cũng biết ý bảo thôi vậy kiểu gì ông ấy chẳng ngủ ngủ thêm ấy ấy ấy đi	thì mình em cũng biết ý bảo thôi vậy kiểu gì ông ấy chẳng ngủ ngủ thêm ấy ấy ấy đấy thế
em hôm ấy em về ăn cơm sớm năm giờ ong bát đầum	em hôm ấy em về ăn cơm sớm năm giờ xong bắt đầu làm một phát đến sáu giờ xong
gần sáu giờ lúc gọi dậy còn đang muốn ngủ tiếp thấy	gần sáu giờ lúc gọi dậy còn đang muốn ngủ tiếp thấy
à hôm trước bà thuý bà ấy tái xuất giang hồ ở đây rồi đấy thu béo ấy	à hôm trước bà thuý bà ấy tái xuất giang hồ ở đây rồi đấy thuý béo ấy
không thấy đảo không thấy bảo đi ở ấy mà đi ở nhà đi ở đường ấy bảo ừ bà ấy bảo là xem	không thấy bảo không thấy bảo đi ở ấy mà đi ở nhà đi ở đường ấy bảo ừ bà ấy bảo là xem
àả xem bố trí thịt chó thịt chiếc hay sao ấy bà ấy bảo là xem bố trí thị chó	à xem bố trí thịt chó thịt chiếc hay sao ấy bà ấy bảo là xem bố trí thịt chó
không cái số ấy ày vứnrồi sao ấy thấy hôm qua gọi sim khuyến mại mà ừ thế là gọi cho em ấy nhưng mà sau đấy	không cái số ấy bà ấy vứt rồi sao ấy thấy hôm qua gọi sim khuyến mại mà ừ thế là gọi cho em ấy nhưng mà sau đấy
sau đấy em bảo là ấy thôi bảo là cháu nó hôm qua đi	sau đấy em bảo là ấy thôi bảo là cháu nó hôm qua đi
thế bảo là cháu ấy rồi đấy	thế bảo là cháu ấy rồi đấy
em bảo là cái đợt này cháu ấy đấy hôm qua hôm kia ấy đi đám ma ông xá ốm xeng ấy cở lê cháu tắt máy	em bảo là cái đợt này cháu ấy đấy hôm qua hôm kia ấy đi đám ma ông xá ốm xong ấy bảo là cháu tắt máy
cháu không nghe sợ ông ấy gọi đến ăn cơm ăn kiết ấy ăn cơm ấy không muốn thế là thôi bàiy à ừ thế ló chá âu	cháu không nghe sợ ông ấy gọi đến ăn cơm ăn kiết ấy ăn cơm ấy không muốn thế là thôi bà ấy bảo ừ thế là cháu
bảo bảo cháu tắt máy vâng vâng bảo là cháu tắt máy thì không đến ăn cơm nhà ông ấy	bảo bảo cháu tắt máy vâng vâng bảo là cháu tắt máy thì không đến ăn cơm nhà ông ấy
không đến ăn cơm ấy ừ thế bày bảo là sao sao tao gọi cho mày mãi không được	không đến ăn cơm ấy ừ thế bà ấy bảo là sao sao tao gọi cho mày mãi không được
không ngay lúc sáng ấy	không ngay lúc sáng ấy
à lúc chiều bà ấy về đấy rồi bợ i về và ấy xang nhà ừ	à lúc chiều bà ấy về đây rồi bà ấy về bà ấy sang nhà ừ
không biết thấy mì bợ trrước	không biết thấy bà ấy bảo trước
hờ th hồi ấy đi vào phú quốc cơ mà	đấy hồi trước hồi ấy đi vào phú quốc cơ mà
bạo ấy vào phú quốc xong bắt đầu rồi bà ấy lại xuất hiện chẳng biết là bà ấy đi làm vở đâu đấy	bà ấy vào phú quốc xong bắt đầu rồi bà ấy lại xuất hiện chẳng biết là bà ấy đi làm ở đâu đấy
đấy thì cái đợt đấy xong bắt đầu là mãi sau em	đấy thì cái đợt đấy xong bắt đầu là mãi sau em
bà á bảo ống chiến là bố trí thằng hiếu thằng kiên thằng sơn xem thế nào đãi chị chị đi vài nghìn cây ra đây để nhời	bà ấy bảo ông chiến là bố trí thằng hiếu thằng kiên thằng sơn xem thế nào đãi chị chị đi vài nghìn cây ra đây để nhờ
nhờ các em khao một bữa mà khó quá tao vừa nhìn thấy chúng mày vừa lĩnh lương bảo thì cô cái đấy xem ông chiến ấy bảo ông chiyến ừ	nhờ các em khao một bữa mà khó quá tao vừa nhìn thấy chúng mày vừa lĩnh lương bảo thì cô cái đấy xem ông chiến ấy bảo ông chiến ừ
ông chiến bảo là hôm nào bố trí nhà thầy hiển đấyđây	ông chiến bảo là hôm nào bố trí nhà thầy hiển đấy đấy bảo là chồng lấy vợ
tế đấy em em bạo là sim của cô làm sao ấy cháu gọi bao lần mà cái sim kia không được thế hôm nay cô dùng cái số sim ny	hôm đấy em em bảo là sim của cô làm sao ấy cháu gọi bao lần mà cái sim kia không được thế hôm nay cô dùng cái số sim này
chii đì bốt đồ ng	mãi đến đợt vừa rồi này lại thấy bà ấy long dong trên đường tái xuất giang hồ cứ đi mất độ khoảng
thế bảo bảo xây nhà rên cầu đấy bên cầu đầu quan đấy	thấy bảo bảo xây nhà bên cầu đấy bên cầu đầu quan đấy
đểu bả xây lâu lắm từ tháng hai mà khởi công từ tháng hai mà	thấy bảo xây lâu lắm từ tháng hai mà khởi công từ tháng hai mà
chìn bết đâu được lần này á hấy bà em bảo là thấy bảo là xây nhà từ hôm hai chín cơ	thì biết đâu được lần này á hấy bà em bảo là thấy bảo là xây nhà từ hôm hai chín cơ
ao lô	a lô
à đang xem ti vi	à đang xem tivi
mìy đứa hắn đi đâu hết trơn rồi	mấy đứa hắn đi đâu hết trơn rồi
nht	chết
à hắn mái dẫn người h yêu ắn về đây nè	à hắn mới dẫn người yêu hắn về đây nè
nghe ờ	nghe ờ
chứ anh đang ở đâu đó	chứ anh đang ở đâu đó
lộ gẫn đang làm cái chi đó	nội gần đang làm cái chi đó
hỏ học mô mọ về	hả học mô mà về
mần chi trễ gớm rứa	mần chi trễ gớm rứa
đãyi ai	hãy ai
à chứ về nhà đi coi pháo hoa đồ kìa	hả chứ về nhà đi coi pháo hoa đồ kìa
ờ	ừ
chứ rứa mới ăn cơm hả nay anh cha quang tới có đi đông không ừhè	chứ rứa mới ăn cơm hả nay anh cha quang tới có đi đông không ừ
ừ đi chứ rồi hả	ừ đi chứ rồi hả
ừ lên mấy đứa nó vẫn bình thường chứ hả	ừ lên mấy đứa nó vẫn bình thường chứ hả
ừ rồi hắn có ừ có dẫn đi đâu không	ừ rồi hắn có ừ có dẫn đi đâu không
chứ không đi lăng bác rồià	ừ chứ không đi lăng bác rồi à
ờ chứ đi không ghé chợ đồng xuân đồ mua quà về hả	ừ chứ đi không ghé chợ đồng xuân đồ mua quà về hả
ờ phải mua quà đồ về chứ ờ	ờ phải mua quà đồ về chứ ờ
i đi với người yêu hắn rồi	hắn đi với người yêu hắn rồi
chê điy yêu hắn chứ răng chở mình theo được	ừ chứ đi yêu hắn chứ răng chở mình theo được
ừ không biết hắn đi đi rứa rứa hắn có ưng đi không nữa	ừ không biết hắn đi đi rứa rứa hắn có ưng đi không nữa
tối i không đi nhậu nơi ngồi tám dữ ri	tối ni không đi nhậu nơi ngồi tám dữ ri
